source,title,description,published
Hollywood Reporter,‘Heated Rivalry’ Creator Sets Alexander the Great Series at Netflix,The series is based on Annabel Lyon’s 2009 novel ‘The Golden Mean’ about the relationship between the Macedonian ruler and the philosopher Aristotle.,2026-03-05T16:50:35Z
BusinessLine,Indian basmati exporters seek Covid-type relief after Iran war disrupts shipping,Pleads with APEDA to take up exporters’ cause with Commerce and other related ministries to lessen the impact of the geopolitical crisis,2026-03-05T16:50:24Z
The Times of India,"IKEA aims to be profitable by FY'28, to open 25 new small & medium size stores in next 4-5 years","Swedish furniture giant IKEA is set to become profitable in India by FY'28. The company plans to open 25 new stores across the country in the next four to five years. These new outlets will be smaller, ranging from 2,500 to 20,000 square feet. IKEA is expandi…",2026-03-05T16:49:31Z
The Times of India,"MKS Instruments opens vacuum, photonics engineering labs at Bengaluru GCC",The new labs will support product development and testing across semiconductor and optical technologies. The move will strengthen the company’s engineering capabilities from its Bengaluru GCC.,2026-03-05T16:45:53Z
OilPrice.com,Drone Strike Hits Bahrain Refinery as Crack Spreads Surge,"A drone strike hit oil infrastructure in Bahrain’s Ma’ameer industrial area, according to multiple early reports Thursday morning, raising  concerns about the vulnerability of Gulf refining assets as regional tensions escalate. The Ma’ameer area is home to in…",2026-03-05T16:45:00Z
GlobeNewswire,HyOrc & Prio Bio Sign 10-Year Green Methanol Offtake Term Sheet for Porto Project,HyOrc & Prio Bio Sign 10-Year Green Methanol Offtake Term Sheet for Porto Project ...,2026-03-05T16:45:00Z
GlobeNewswire,Banijay Group: FY 2025 results,"Press Release                                                                 Paris, 5 March 2026  Full Year 2025 Results  STRONG 2025 PERFORMANCE WITH...",2026-03-05T16:45:00Z
The Times of India,Ladakh's Lieutenant Governor Kavinder Gupta resigns,"Ladakh Lieutenant Governor Kavinder Gupta resigned on Thursday.  Sources confirm the development.  Earlier today, West Bengal Governor CV Ananda Bose also submitted his resignation to President Droupadi Murmu.  The Officer on Special Duty to the Governor conf…",2026-03-05T16:44:39Z
The Times of India,Iran war could disrupt India’s pharma exports by up to $500 million,"The Iran war is impacting India's drug exports. Higher freight costs and shipping refusals to Gulf hubs are causing concern. Industry estimates suggest a potential loss of $300-$500 million. While manufacturing remains unaffected, logistics are complicated. C…",2026-03-05T16:41:38Z
PBS,Iranian warship was sailing home from India exhibition when U.S. sank it,The sinking underscored the scope of the U.S.-Israeli war with Iran and its spread in the Middle East and beyond. It also ignited a debate in India about maritime security in the Indian Ocean.,2026-03-05T16:37:14Z
Financial Post,How Fossil Fuel Disruptions Lead to Booms in Solar and Batteries,"Past oil crises forced countries to cut fuel use and pay high prices, but now falling prices of clean tech offer another solution.",2026-03-05T16:35:14Z
Phonescoop.com,Nothing Phone (4a) Pro,"This mid-range phone sports a unique design and several high-end features, including a display that&#039;s large, sharp, and bright, with fast refresh. It also has a 50 megapixel triple camera system with 3.5x optical zoom. Other key features include 50W fast…",2026-03-05T16:32:44Z
Khabarhub.com,"India congratulates Nepal on successful elections, pledges continued cooperation","KATHMANDU: India has welcomed the successful conduct of elections in Nepal and the enthusiastic participation of citizens in exercising their democratic mandate. “We congratulate Prime Minister Sushila Karki, the Government, and the people of Nepal, as well a…",2026-03-05T16:32:06Z
BusinessLine,West Bengal Governor C V Ananda Bose resigns just ahead of Assembly polls,West Bengal Governor C V Ananda Bose resigns before elections; R N Ravi to take over amid political speculation.,2026-03-05T16:31:01Z
BusinessLine,Global freight market challenges will have adverse impact on pharma exports: Pharmexcil,"Pharmexcil warns that global freight market challenges could lead to ₹5,000 crore losses for Indian pharma exports.",2026-03-05T16:29:18Z
Rlsbb.to,Songlines - April 2026,"Songlines is the definitive magazine for world music – music that has its roots in all parts of the globe, from Mali to Mexico, India to Iraq. Whether this music is defined as traditional, contemporary, folk or fusion, Songlines is the only publication to tru…",2026-03-05T16:20:21Z
The Indian Express,Did Sri Lanka make IRIS Dena wait 11 hours before it was torpedoed? Tough questions in country’s Parliament as another Iranian vessel seeks assistance,"Sri Lankan authorities confirmed on Thursday that another ship is positioned within the country’s Exclusive Economic Zone, awaiting a decision on whether it would be allowed to enter port for assistance",2026-03-05T16:18:27Z
Jezebel,One-Third of Gen Z Men Dream of Being Toxic Husbands,A new global poll reveals Gen Z men are officially worse than Baby Boomers.,2026-03-05T16:13:15Z
Syllad.com,"CM hands out Rs 28.49 Cr in EGH under Green Meghalaya, FOCUS+","Chief Minister Conrad K Sangma distributed cheques worth Rs. 28.49 crore to beneficiaries in three East Garo Hills C&RD blocks — Samanda, Songsak and Dambo‑Rongjeng — under the Green Meghalaya and FOCUS+ programmes during an event marking eight years of the M…",2026-03-05T16:09:56Z
The Times of India,Demon Slayer: Kimetsu no Yaiba – Infinity Castle returning to Indian theatres in new format,"Demon Slayer: Kimetsu no Yaiba – Infinity Castle, the first installment of the concluding arc, is returning to cinemas in Japanese with English subtitles. This highly successful film, which achieved global box office records and critical acclaim, will also be…",2026-03-05T16:02:14Z
The Star Online,Tourism resilient despite conflict,"PETALING JAYA: With the escalating tensions in the Middle East, there have been flight cancellations, closures of several airports and an increasing fear of flying abroad. Read full story",2026-03-05T16:00:00Z
New Zealand Herald,Bombshell poll: Luxon under pressure as National sinks towards 2020 disaster mark,The poor rating follows weeks of criticism of Christopher Luxon’s leadership.,2026-03-05T16:00:00Z
GlobeNewswire,Global Anomaly Detection Market Poised for Strong Growth as AI-Driven Security Demands and Enterprise Automation Accelerate: Verified Market Research®,"Rising cybersecurity threats, expanding digital footprints, and increasing reliance on AI-powered analytics are driving robust demand across the anomaly detection market, as enterprises prioritize predictive risk monitoring, fraud prevention, and operational …",2026-03-05T15:59:00Z
The Times of India,Digital platforms capture India's cricket fandom beyond live matches,Cricket fandom is shifting to social media platforms. Fans now discuss and share content around matches on platforms like YouTube and Snapchat. This trend offers new avenues for brands as live cricket advertising costs rise. Digital platforms are capturing a …,2026-03-05T15:57:35Z
Statetimes.in,"After raids in Mumbai, ATS arrests engineering student for sharing terror propaganda","MUMBAI: The Maharashtra Anti-Terrorism Squad (ATS) has arrested an engineering student from Mumbai for allegedly sharing online propaganda material linked to banned terrorist organisations, an official said here on Thursday. According the official, two other …",2026-03-05T15:55:18Z
GlobeNewswire,Tantalum Mining Market Trends Analysis Report 2025-2033,"The tantalum mining market's growth is driven by rising demand for critical minerals, adoption of eco-friendly extraction methods, and enhanced recycling. Opportunities include improved process efficiency, strategic governmental support, and burgeoning demand…",2026-03-05T15:52:00Z
BusinessLine,Informal sector growth holds up,The new national accounts series shows that the informal sector has grown robustly in recent times,2026-03-05T15:50:02Z
BusinessLine,"SEBI seeks details from Force Motors about results disclosures pertaining to FY24, FY25",SEBI requests Force Motors to clarify financial disclosures for FY24 and FY25 amid rising share prices and strong revenue growth.,2026-03-05T15:47:43Z
The Times of India,Why the US–Israel vs Iran conflict brings India's PRAHAAR into sharper focus,"While the Iran vs Israel-US confrontation continues to be viewed largely through the lens of conventional military escalation, it has also revealed the quieter but equally consequential dimension of modern conflict like intelligence penetration and institutio…",2026-03-05T15:46:38Z
GlobeNewswire,Digital Rights Management Market Poised for Strong Growth as Rising Digital Content Consumption and Data Protection Needs Accelerate Adoption: Verified Market Research®,"The global Digital Rights Management (DRM) market is witnessing accelerated demand as organizations across media, entertainment, publishing, and enterprise sectors seek robust mechanisms to secure digital assets and intellectual property. Rapid growth in OTT …",2026-03-05T15:45:00Z
BusinessLine,Rupee makes smart recovery from previous days lows,"The Rupee recovers from record lows amid geopolitical tensions, closing stronger against the Dollar despite ongoing pressure from oil prices.",2026-03-05T15:43:36Z
